# Scenario generation method from a paper by Hoyland, Kaut & Wallace
# Code by Michal Kaut (michal.kaut@iot.ntnu.n) & Diego Mathieu

#   prob   var  1   var  2   var  3   var  4   var  5   var  6   var  7   var  8   var  9   var 10
0.010000  0.47750 -0.74358 -1.19194  0.29560  1.73344  0.05387  0.19741 -0.91340 -2.16823  0.88689
0.010000  0.36826 -0.71207 -0.69014  0.05715  0.34981  0.09843 -1.75474  0.18755 -0.26477 -0.06572
0.010000 -0.44969  0.13106  0.99812 -0.37860 -1.46791  0.01808 -1.14349  0.02850  1.44302 -0.77552
0.010000 -0.71715 -0.22039  1.34940 -1.02868  1.73358  0.69369  1.02541  2.06356  0.54297  0.04841
0.010000 -1.43265 -1.70602 -0.10490  1.23724 -0.96165  1.31887 -0.21108 -0.98722 -0.04718 -1.14680
0.010000  1.50735  0.98450  2.72477  0.55982 -0.24426 -1.19454  0.31979 -1.36938 -1.28881  1.00878
0.010000 -0.23777 -0.93034  0.70098  0.37379  0.87283  0.99125  0.04276  0.60910  0.04766 -0.13739
0.010000 -0.92849 -0.79356 -0.87087 -0.96205  2.65117  0.32777  0.13396  1.32736 -0.98001  1.85657
0.010000 -0.36826  0.03265 -0.05831 -1.94059 -0.66881 -0.07810 -0.81939 -0.31374  0.74240  1.61618
0.010000  0.34170  0.31884 -0.96516  0.65320  1.11030 -0.85185 -0.45755  1.19079  0.54404  0.71970
0.010000  1.59170  1.38328  0.79618 -1.31735  0.45485  1.53587  1.77440  0.07755 -1.45348 -0.87513
0.010000  1.19358  1.82155 -0.49541  0.83160 -0.15606 -0.08317 -0.46015 -1.15295  0.64403  0.71191
0.010000  0.11159  0.18784 -0.73251  0.75597  0.29602 -1.59951 -0.56006 -1.03787  0.75837 -1.73773
0.010000  0.06185  1.24669 -0.32465  0.71225 -1.31149  0.77635  1.06590 -0.31137  0.54991  0.36202
0.010000 -0.74996  0.46807 -0.57422  0.97292  0.13642  0.29634  0.97724  0.33745 -1.73498  0.70422
0.010000  0.74996  1.69843 -0.88123  0.91173 -0.11889  0.53222 -0.40156  0.52044  1.48835  0.66505
0.010000 -1.05165 -0.69657 -0.04682 -1.31580  0.66277 -0.52892  0.16112  0.77396  0.93636  0.50792
0.010000  0.39509  0.11592 -0.07139 -0.51822  0.22422 -1.48519 -0.79696  1.31432  0.23362 -0.66642
0.010000 -0.89050 -0.48730 -0.65051 -0.78716  1.32762  1.37945 -0.78794 -0.00046 -0.07282 -2.33160
0.010000  0.28932 -0.13312 -0.93005 -0.43019 -2.68201 -0.67802  1.28214 -0.34991 -0.55306 -1.75638
0.010000 -0.42223  0.36276  0.52135  2.09266  0.22252  0.27147  0.80296  0.88099 -0.16634  1.92099
0.010000 -0.31539  0.33747  1.91906  0.37323 -0.50543  0.64466  0.49277 -2.19735 -0.56814  0.58023
0.010000 -0.50570  0.74317 -0.16085 -0.90530  0.72514  0.77889 -0.35341 -0.62597 -0.75517 -0.27133
0.010000  1.80691 -1.07452  1.76108  1.54862  0.58075 -0.85880 -0.42107 -0.68001 -0.70537 -0.64548
0.010000 -0.96789  0.27757 -0.47089  0.77770  0.22269 -1.87580 -0.05191 -2.07281 -0.53059  0.22807
0.010000 -1.09648 -1.44478  0.16973  1.35580 -0.59279 -0.31118  1.76278 -0.89654  0.72568 -1.28621
0.010000  0.42223  0.45391  0.11669 -1.70506 -1.36715  1.65329  0.41812 -0.05510 -1.00672 -1.38104
0.010000 -0.53432 -0.53991 -0.02798 -0.12244  1.14115  0.83131 -0.76144 -1.30775  0.08195 -0.46604
0.010000  1.09648 -1.03796 -1.05724 -0.40318 -0.33919  1.26841  0.56195 -0.42372 -0.11154 -0.19963
0.010000 -0.56340 -0.40119 -0.32814 -0.68685  0.16791  0.91006  2.85132  0.76144  0.72718  1.63071
0.010000  2.17358  1.32835  1.11871 -0.05056 -0.14018  0.10961 -0.54399  0.04481  0.34761 -0.32433
0.010000 -0.65378  1.95083  1.02407  1.69371  0.01773 -0.10121 -0.75218  1.76330  0.71645 -0.59076
0.010000  0.03708 -1.30244 -0.42953  0.13072 -1.29026 -1.65774 -0.97285  1.67618 -0.84525  0.63491
0.010000  0.21226  0.53603  1.23187  0.96981 -1.04631  0.45770 -0.53241  0.71055  0.88893  0.37581
0.010000 -0.78361 -0.43085 -0.72456  1.04401  0.11787 -0.74975 -0.15490  1.51097 -1.80564 -0.60417
0.010000 -0.06185  1.00723 -2.63970 -0.73632 -0.41695  1.10783 -0.09085  0.56072 -0.06742  1.12313
0.010000  0.92849 -0.99714  0.88512 -0.24776 -1.83563 -1.11111  1.67546  0.29262  1.46642 -0.19391
0.010000  1.14366 -0.95365 -0.33208 -0.21845 -0.46912  0.55592 -0.97542  0.36410  2.72631  0.30693
0.010000  0.96789 -2.66601  1.45497  1.73943  1.53696  0.44089  0.19613  0.33602 -0.03352 -0.29090
0.010000 -1.59170 -0.00627  0.06408  0.93280  1.67288  0.26986  0.99383 -1.35840 -0.62622  0.29031
0.010000  1.30367 -0.35268  1.60620 -2.69712  0.23604  1.32916 -1.27666 -0.86640  0.53659  0.83477
0.010000  0.26345 -0.50205 -1.56920  0.35210  0.43488 -0.36986  1.08250 -0.36908  0.88681 -1.05005
0.010000 -1.14366 -0.66633  1.03678 -1.28029  0.37847  0.17333  1.49301  1.23175 -0.99783 -0.65473
0.010000  0.31539  1.59534  1.48624  0.74179 -0.13234 -0.86386 -1.43740  1.57977 -0.57760 -0.62315
0.010000 -1.36528  2.66256 -0.37389  0.10371  0.15271 -0.65914 -0.43929  0.43611  0.24601  0.73021
